Links,Title,Rating_%,Year
,,,
https://www.rottentomatoes.com/m/leave_no_trace,Leave No Trace,100,2018
https://www.rottentomatoes.com/m/his_house,His House,100,2020
https://www.rottentomatoes.com/m/how_to_train_your_dragon,How to Train Your Dragon,99,2010
https://www.rottentomatoes.com/m/the_forty_year_old_version,The Forty-Year-Old Version,99,2020
https://www.rottentomatoes.com/m/under_the_shadow,Under the Shadow,99,2016
https://www.rottentomatoes.com/m/ma_raineys_black_bottom,Ma Rainey's Black Bottom,97,2020
https://www.rottentomatoes.com/m/dolemite_is_my_name,Dolemite Is My Name,97,2019
https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople,Hunt for the Wilderpeople,97,2016
https://www.rottentomatoes.com/m/mudbound,Mudbound,97,2017
https://www.rottentomatoes.com/m/chicken_run,Chicken Run,97,2000
https://www.rottentomatoes.com/m/i_lost_my_body,I Lost My Body,97,2019
https://www.rottentomatoes.com/m/rocks,Rocks,97,2019
https://www.rottentomatoes.com/m/roma_2018,Roma,96,2018
https://www.rottentomatoes.com/m/atlantics,Atlantics,96,2019
https://www.rottentomatoes.com/m/psycho,Psycho,96,1960
https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail,Monty Python and the Holy Grail,96,1975
https://www.rottentomatoes.com/m/monty_pythons_life_of_brian,Life of Brian,96,1979
https://www.rottentomatoes.com/m/to_all_the_boys_ive_loved_before,To All the Boys I've Loved Before,96,2018
https://www.rottentomatoes.com/m/american_graffiti,American Graffiti,96,1973
https://www.rottentomatoes.com/m/outside_in_2018,Outside In,96,2017
https://www.rottentomatoes.com/m/the_irishman,The Irishman,95,2019
https://www.rottentomatoes.com/m/marriage_story_2019,Marriage Story,95,2019
https://www.rottentomatoes.com/m/it_follows,It Follows,95,2014
https://www.rottentomatoes.com/m/klaus,Klaus,95,2019
https://www.rottentomatoes.com/m/call_me_by_your_name,Call Me by Your Name,94,2017
https://www.rottentomatoes.com/m/the_power_of_the_dog,The Power of the Dog,94,2021
https://www.rottentomatoes.com/m/carol,Carol,94,2015
https://www.rottentomatoes.com/m/the_lost_daughter,The Lost Daughter,94,2021
https://www.rottentomatoes.com/m/emily_the_criminal,Emily the Criminal,95,2022
https://www.rottentomatoes.com/m/groundhog_day,Groundhog Day,94,1993
https://www.rottentomatoes.com/m/the_sea_beast,The Sea Beast,94,2022
https://www.rottentomatoes.com/m/private_life_2018,Private Life,94,2018
https://www.rottentomatoes.com/m/enola_holmes_2,Enola Holmes 2,94,2022
https://www.rottentomatoes.com/m/1002448-birds,The Birds,94,1963
https://www.rottentomatoes.com/m/captain_phillips,Captain Phillips,93,2013
https://www.rottentomatoes.com/m/spiderman_2,Spider-Man 2,93,2004
https://www.rottentomatoes.com/m/the_meyerowitz_stories,The Meyerowitz Stories (New and Selected),93,2017
https://www.rottentomatoes.com/m/hustle_2022,Hustle,93,2022
https://www.rottentomatoes.com/m/cam,Cam,93,2018
https://www.rottentomatoes.com/m/sand_storm,Sand Storm,93,2016
https://www.rottentomatoes.com/m/glass_onion_a_knives_out_mystery,Glass Onion: A Knives Out Mystery,92,2022
https://www.rottentomatoes.com/m/skyfall,Skyfall,92,2012
https://www.rottentomatoes.com/m/da_5_bloods,Da 5 Bloods,92,2020
https://www.rottentomatoes.com/m/american_hustle,American Hustle,92,2013
https://www.rottentomatoes.com/m/1103281-traffic,Traffic,92,2000
https://www.rottentomatoes.com/m/el_camino_a_breaking_bad_movie,El Camino: A Breaking Bad Movie,92,2019
https://www.rottentomatoes.com/m/we_the_animals,We the Animals,92,2018
https://www.rottentomatoes.com/m/the_little_prince_2016,The Little Prince,92,2015
https://www.rottentomatoes.com/m/roald_dahls_matilda_the_musical,Roald Dahl's Matilda the Musical,92,2022
https://www.rottentomatoes.com/m/1017776-rocky,Rocky,92,1976
https://www.rottentomatoes.com/m/set_it_up,Set It Up,92,2018
https://www.rottentomatoes.com/m/mindhorn,Mindhorn,92,2016
https://www.rottentomatoes.com/m/1922_2017,1922,92,2017
https://www.rottentomatoes.com/m/uncorked_2020,Uncorked,92,2020
https://www.rottentomatoes.com/m/la_la_land,La La Land,91,2016
https://www.rottentomatoes.com/m/phantom_thread,Phantom Thread,91,2017
https://www.rottentomatoes.com/m/the_nice_guys,The Nice Guys,91,2016
https://www.rottentomatoes.com/m/philomena,Philomena,91,2013
https://www.rottentomatoes.com/m/the_white_tiger_2020,The White Tiger,91,2021
https://www.rottentomatoes.com/m/beasts_of_no_nation,Beasts of No Nation,91,2015
https://www.rottentomatoes.com/m/high_flying_bird,High Flying Bird,91,2019
https://www.rottentomatoes.com/m/apollo_10_1_2_a_space_age_childhood,Apollo 10 1/2: A Space Age Childhood,91,2022
https://www.rottentomatoes.com/m/happy_as_lazzaro,Happy as Lazzaro,91,2018
https://www.rottentomatoes.com/m/terminator_2_judgment_day,Terminator 2: Judgment Day,91,1991
https://www.rottentomatoes.com/m/geralds_game,Gerald's Game,91,2017
https://www.rottentomatoes.com/m/when_harry_met_sally,When Harry Met Sally...,91,1989
https://www.rottentomatoes.com/m/the_willoughbys,The Willoughbys,91,2020
https://www.rottentomatoes.com/m/national_lampoons_animal_house,National Lampoon's Animal House,91,1978
https://www.rottentomatoes.com/m/spiderman,Spider-Man,90,2002
https://www.rottentomatoes.com/m/the_two_popes,The Two Popes,90,2019
https://www.rottentomatoes.com/m/all_quiet_on_the_western_front_2022,All Quiet on the Western Front,90,2022
https://www.rottentomatoes.com/m/the_kindergarten_teacher_2018,The Kindergarten Teacher,90,2018
https://www.rottentomatoes.com/m/reservoir_dogs,Reservoir Dogs,90,1992
https://www.rottentomatoes.com/m/on_body_and_soul,On Body and Soul,90,2017
https://www.rottentomatoes.com/m/the_trial_of_the_chicago_7,The Trial of the Chicago 7,89,2020
https://www.rottentomatoes.com/m/zombieland,Zombieland,89,2009
https://www.rottentomatoes.com/m/the_ballad_of_buster_scruggs,The Ballad of Buster Scruggs,89,2018
https://www.rottentomatoes.com/m/always_be_my_maybe_2019,Always Be My Maybe,89,2019
https://www.rottentomatoes.com/m/i_am_mother,I Am Mother,89,2019
https://www.rottentomatoes.com/m/i_dont_feel_at_home_in_this_world_anymore,I Don't Feel at Home in This World Anymore,89,2017
https://www.rottentomatoes.com/m/paddleton,Paddleton,89,2019
https://www.rottentomatoes.com/m/rush_2013,Rush,88,2013
https://www.rottentomatoes.com/m/rango,Rango,88,2011
https://www.rottentomatoes.com/m/the_bad_guys_2022,The Bad Guys,88,2022
https://www.rottentomatoes.com/m/dope_2015,Dope,88,2015
https://www.rottentomatoes.com/m/oxygen_2021,Oxygen,88,2021
https://www.rottentomatoes.com/m/fear_street_part_three_1666,Fear Street Part Three: 1666,88,2021
https://www.rottentomatoes.com/m/donnie_brasco,Donnie Brasco,88,1997
https://www.rottentomatoes.com/m/the_breaker_upperers,The Breaker Upperers,88,2018
https://www.rottentomatoes.com/m/inception,Inception,87,2010
https://www.rottentomatoes.com/m/fear_street_part_two_1978,Fear Street Part Two: 1978,87,2021
https://www.rottentomatoes.com/m/my_fathers_dragon_2022,My Father's Dragon,87,2022
https://www.rottentomatoes.com/m/inside_man,Inside Man,86,2006
https://www.rottentomatoes.com/m/kung_fu_panda_3,Kung Fu Panda 3,86,2016
https://www.rottentomatoes.com/m/the_wonder_2022,The Wonder,86,2022
https://www.rottentomatoes.com/m/vivo,Vivo,86,2021
https://www.rottentomatoes.com/m/munich_the_edge_of_war,Munich: The Edge of War,86,2021
https://www.rottentomatoes.com/m/still_alice,Still Alice,85,2014
https://www.rottentomatoes.com/m/easy-a,Easy A,85,2010
https://www.rottentomatoes.com/m/lady_chatterleys_lover_2022,Lady Chatterley's Lover,85,2022
